Attribute name	Global identifier	Data type
VBRPeak	g_wszVBRPeak	WMT_TYPE_DWORD
WM/AlbumArtist	g_wszWMAlbumArtist	WMT_TYPE_STRING
WM/AlbumCoverURL	g_wszWMAlbumCoverURL	WMT_TYPE_STRING
WM/AlbumTitle	g_wszWMAlbumTitle	WMT_TYPE_STRING
WM/ASFPacketCount	g_wszWMASFPacketCount	WMT_TYPE_QWORD
WM/ASFSecurityObjectsSize	g_wszWMASFSecurityObjectsSize	WMT_TYPE_QWORD
WM/AudioFileURL	g_wszWMAudioFileURL	WMT_TYPE_STRING
WM/AudioSourceURL	g_wszWMAudioSourceURL	WMT_TYPE_STRING
WM/AuthorURL	g_wszWMAuthorURL	WMT_TYPE_STRING
WM/BeatsPerMinute	g_wszWMBeatsPerMinute	WMT_TYPE_STRING
WM/Category	g_wszWMCategory	WMT_TYPE_STRING
WM/Codec	g_wszWMCodec	WMT_TYPE_STRING
WM/Composer	g_wszWMComposer	WMT_TYPE_STRING
WM/Conductor	g_wszWMConductor	WMT_TYPE_STRING
WM/ContainerFormat	g_wszWMContainerFormat	WMT_STORAGE_FORMAT (WMT_TYPE_BINARY)
WM/ContentDistributor	g_wszWMContentDistributor	WMT_TYPE_STRING
WM/ContentGroupDescription	g_wszWMContentGroupDescription	WMT_TYPE_STRING
WM/Director	g_wszWMDirector	WMT_TYPE_STRING
WM/DRM	g_wszWMDRM	WMT_TYPE_STRING
WM/DVDID	g_wszWMDVDID	WMT_TYPE_STRING
WM/EncodedBy	g_wszWMEncodedBy	WMT_TYPE_STRING
WM/EncodingSettings	g_wszWMEncodingSettings	WMT_TYPE_STRING
WM/EncodingTime	g_wszWMEncodingTime	FILETIME (WMT_TYPE_QWORD)
WM/Genre	g_wszWMGenre	WMT_TYPE_STRING
WM/GenreID	g_wszWMGenreID	WMT_TYPE_STRING
WM/InitialKey	g_wszWMInitialKey	WMT_TYPE_STRING
WM/ISRC	g_wszWMISRC	WMT_TYPE_STRING
WM/Language	g_wszWMLanguage	WMT_TYPE_STRING
WM/Lyrics	g_wszWMLyrics	WMT_TYPE_STRING
WM/Lyrics_Synchronised	g_wszWMLyrics_Synchronised	WM_SYNCHRONISED_LYRICS (WMT_TYPE_BINARY)
WM/MCDI	g_wszWMMCDI	WMT_TYPE_BINARY
WM/MediaClassPrimaryID	g_wszWMMediaClassPrimaryID	WMT_TYPE_GUID
WM/MediaClassSecondaryID	g_wszWMMediaClassSecondaryID	WMT_TYPE_GUID
WM/MediaCredits	g_wszWMMediaCredits	WMT_TYPE_STRING
WM/MediaIsDelay	g_wszWMMediaIsDelay	WMT_TYPE_BOOL
WM/MediaIsFinale	g_wszWMMediaIsFinale	WMT_TYPE_BOOL
WM/MediaIsLive	g_wszWMMediaIsLive	WMT_TYPE_BOOL
WM/MediaIsPremiere	g_wszWMMediaIsPremiere	WMT_TYPE_BOOL
WM/MediaIsRepeat	g_wszWMMediaIsRepeat	WMT_TYPE_BOOL
WM/MediaIsSAP	g_wszWMMediaIsSAP	WMT_TYPE_BOOL
WM/MediaIsStereo	g_wszWMMediaIsStereo	WMT_TYPE_BOOL
WM/MediaIsSubtitled	g_wszWMMediaIsSubtitled	WMT_TYPE_BOOL
WM/MediaIsTape	g_wszWMMediaIsTape	WMT_TYPE_BOOL
WM/MediaNetworkAffiliation	g_wszWMMediaNetworkAffiliation	WMT_TYPE_STRING
WM/MediaOriginalBroadcastDateTime	g_wszWMMediaOriginalBroadcastDateTime	WMT_TYPE_STRING
WM/MediaOriginalChannel	g_wszWMMediaOriginalChannel	WMT_TYPE_STRING
WM/MediaStationCallSign	g_wszWMMediaStationCallSign	WMT_TYPE_STRING
WM/MediaStationName	g_wszWMMediaStationName	WMT_TYPE_STRING
WM/ModifiedBy	g_wszWMModifiedBy	WMT_TYPE_STRING
WM/Mood	g_wszWMMood	WMT_TYPE_STRING
WM/OriginalAlbumTitle	g_wszWMOriginalAlbumTitle	WMT_TYPE_STRING
WM/OriginalArtist	g_wszWMOriginalArtist	WMT_TYPE_STRING
WM/OriginalFilename	g_wszWMOriginalFilename	WMT_TYPE_STRING
WM/OriginalLyricist	g_wszWMOriginalLyricist	WMT_TYPE_STRING
WM/OriginalReleaseTime	g_wszWMOriginalReleaseTime	WMT_TYPE_STRING
WM/OriginalReleaseYear	g_wszWMOriginalReleaseYear	WMT_TYPE_STRING
WM/ParentalRating	g_wszWMParentalRating	WMT_TYPE_STRING
WM/ParentalRatingReason	g_wszWMParentalRatingReason	WMT_TYPE_STRING
WM/PartOfSet	g_wszWMPartOfSet	WMT_TYPE_STRING
WM/PeakBitrate	g_wszWMPeakBitrate	WMT_TYPE_DWORD
WM/Period	g_wszWMPeriod	WMT_TYPE_STRING
WM/Picture	g_wszWMPicture	WM_PICTURE (WMT_TYPE_BINARY)
WM/PlaylistDelay	g_wszWMPlaylistDelay	WMT_TYPE_STRING
WM/Producer	g_wszWMProducer	WMT_TYPE_STRING
WM/PromotionURL	g_wszWMPromotionURL	WMT_TYPE_STRING
WM/ProtectionType	g_wszWMProtectionType	WMT_TYPE_STRING
WM/Provider	g_wszWMProvider	WMT_TYPE_STRING
WM/ProviderCopyright	g_wszWMProviderCopyright	WMT_TYPE_STRING
WM/ProviderRating	g_wszWMProviderRating	WMT_TYPE_STRING
WM/ProviderStyle	g_wszWMProviderStyle	WMT_TYPE_STRING
WM/Publisher	g_wszWMPublisher	WMT_TYPE_STRING
WM/RadioStationName	g_wszWMRadioStationName	WMT_TYPE_STRING
WM/RadioStationOwner	g_wszWMRadioStationOwner	WMT_TYPE_STRING
WM/SharedUserRating	g_wszWMSharedUserRating	WMT_TYPE_DWORD
WM/StreamTypeInfo	g_wszWMStreamTypeInfo	WM_STREAM_TYPE_INFO (WMT_TYPE_BINARY)
WM/SubscriptionContentID	g_wszWMSubscriptionContentID	WMT_TYPE_STRING
WM/SubTitle	g_wszWMSubTitle	WMT_TYPE_STRING
WM/SubTitleDescription	g_wszWMSubTitleDescription	WMT_TYPE_STRING
WM/Text	g_wszWMText	WM_USER_TEXT (WMT_TYPE_BINARY)
WM/ToolName	g_wszWMToolName	WMT_TYPE_STRING
WM/ToolVersion	g_wszWMToolVersion	WMT_TYPE_STRING
WM/Track	g_wszWMTrack	WMT_TYPE_STRING
WM/TrackNumber	g_wszWMTrackNumber	WMT_TYPE_STRING
WM/UniqueFileIdentifier	g_wszWMUniqueFileIdentifier	WMT_TYPE_STRING
WM/UserWebURL	g_wszWMUserWebURL	WM_USER_WEB_URL (WMT_TYPE_BINARY)
WM/VideoClosedCaptioning	g_wszWMVideoClosedCaptioning	WMT_TYPE_BOOL
WM/VideoFrameRate	g_wszWMVideoFrameRate	WMT_TYPE_DWORD
WM/VideoHeight	g_wszWMVideoHeight	WMT_TYPE_DWORD
WM/VideoWidth	g_wszWMVideoWidth	WMT_TYPE_DWORD
WM/WMADRCAverageReference	g_wszWMWMADRCAverageReference	WMT_TYPE_DWORD
WM/WMADRCAverageTarget	g_wszWMWMADRCAverageTarget	WMT_TYPE_DWORD
WM/WMADRCPeakReference	g_wszWMWMADRCPeakReference	WMT_TYPE_DWORD
WM/WMADRCPeakTarget	g_wszWMWMADRCPeakTarget	WMT_TYPE_DWORD
WM/WMCollectionGroupID	g_wszWMWMCollectionGroupID	WMT_TYPE_GUID
WM/WMCollectionID	g_wszWMWMCollectionID	WMT_TYPE_GUID
WM/WMContentID	g_wszWMWMContentID	WMT_TYPE_GUID
WM/WMShadowFileSourceDRMType	g_wszWMWMShadowFileSourceDRMType	WMT_TYPE_STRING
WM/WMShadowFileSourceFileType	g_wszWMWMShadowFileSourceFileType	WMT_TYPE_STRING
WM/Writer	g_wszWMWriter	WMT_TYPE_STRING
WM/Year	g_wszWMYear	WMT_TYPE_STRING
 

Remarks
The following constants are defined with the attributes. Each one indicates the number of a specific type of attribute. You do not need to use these values for anything in your applications.

REMARKS
Constant	Value
g_dwWMSpecialAttributes	20
g_dwWMContentAttributes	5
g_dwWMNSCAttributes	5
 
